submission_id,prolific_pid,study,condition,caption,n_keystrokes,n_ai_uses,ai_used,n_tab_leaves,task_duration_s,elo,vote_count,pretrained_score,llm_humor,llm_cleverness,llm_fit,llm_overall,llm_comment,feedback_type,top_half,real_percentile,honeypot_clean,moderation_flagged,process_producing,process_responsible,process_involved,process_satisfaction,identity_funny,identity_importance,identity_reflects,attention_check,outcome_capable,outcome_effective,outcome_power,meaning_fulfilling,meaning_meaningful,meaning_mattered,experience,feedback_text,process_agency,outcome_agency,meaning,identity
69b96be916d4f954ddc17a5a,6273088a00cf446a9c9cd8f6,prolific3,solo,"You know, maybe Trump has a point about closing these borders....",67,0,FALSE,0,95.814,1512,16,59,6,7,8,7,The caption cleverly relates to the cartoon's unusual scenario but may not resonate with all audiences.,honest_coarsened,TRUE,20,TRUE,FALSE,10,10,10,5,5,7,7,7,9,8,9,8,9,10,"I was just trying to come up with something witty.  It was fun, but a little stressful.  I wanted to do a good job.",,10,8.666666666666666,9,6.333333333333333
69b96bed16d4f954ddc17a5b,672bbec33e67320f08d153fe,prolific3,solo,"Marv to Meredith, I feel very underdressed.",47,0,FALSE,0,129.606,1593,16,87,6,7,8,7,"The caption adds a humorous perspective on the unusual scene, but could be more specific to enhance cleverness.",honest_coarsened,TRUE,19,TRUE,FALSE,5,7,8,1,7,8,8,7,5,5,7,5,5,9,I tried to be really creative but didn't come up with much. Some of the other captions were really funny. ,I thought the survey was great!! Completely different from other surveys and a nice change of pace. I loved it. Really fun! ,6.666666666666667,5.666666666666667,6.333333333333333,7.666666666666667
69b96ce516d4f954ddc17a89,69acddf8c1275cb9af96b72d,prolific3,ai,"Oh crap, this isn't Madagascar",54,1,TRUE,1,177.538,1455,16,31,7,8,9,8,The reference to Madagascar adds a humorous twist to the unexpected scene of penguins in a city.,honest_coarsened,FALSE,56,TRUE,FALSE,10,10,10,3,7,3,6,7,3,0,8,0,0,0,"I was really struggling. I had concepts of a caption, but I couldn't figure out how to make them come together. ",,10,3.6666666666666665,0,5.333333333333333
69b96df816d4f954ddc17aab,6410e0ba81f88046afa861ca,prolific3,solo,I never thought we'd be talking about missing pigeons.,417,0,FALSE,0,293.308,1516,13,55,6,7,8,7,"The play on missing pigeons is amusing, especially in a scene filled with penguins, though the humor could be enhanced.",honest_coarsened,TRUE,16,TRUE,FALSE,8,8,7,4,5,7,8,7,7,7,6,7,6,8,I was a little stressed because I was having a hard time coming up with any good ideas. ,No suggestions. I liked the process. ,7.666666666666667,6.666666666666667,7,6.666666666666667
69b96ea616d4f954ddc17abf,5d681f7326e50d00195faecf,prolific3,ai,I think we might be underdressed...,41,4,TRUE,0,111.966,1582,15,98,7,6,8,7,"The caption cleverly plays on the absurdity of the situation, making it amusing and relevant to the cartoon.",honest_coarsened,TRUE,16,TRUE,FALSE,10,10,10,7,4,5,8,7,9,8,8,0,0,0,Something funny but original ,,10,8.333333333333334,0,5.666666666666667
69b96f5016d4f954ddc17ad2,5966886dee2508000108b02c,prolific3,ai,"""When the weather app said 'dress for winter,' everyone took it a bit too literally.""",2,1,TRUE,0,56.3,1541,11,85,7,8,9,8,The caption cleverly connects the surprising presence of penguins in a city with a relatable winter attire theme.,honest_coarsened,TRUE,58,TRUE,FALSE,0,0,3,6,6,8,8,7,5,5,6,6,6,5,I felt like the ai did all the work,,1,5.333333333333333,5.666666666666667,7.333333333333333
69b96ffe16d4f954ddc17aea,69a351d666e8b077b755f930,prolific3,solo,"I knew the rent was rising, but I didn't realize penguins could afford this neighborhood.",66,0,FALSE,0,181.244,1516,10,86,7,8,9,8,The caption is witty and connects well with the cartoon's absurdity of penguins in a city setting.,honest_coarsened,TRUE,58,TRUE,FALSE,10,10,10,10,7,5,7,7,9,9,9,8,8,8,I just looked at the picture and tried to think of a funny everyday comment that would fit the penguins. It was fun and made me laugh a bit.,,10,9,8,6.333333333333333
69b9766c16d4f954ddc17aff,5c715022b2da8a0001ee0a84,prolific3,solo,I didn't know Antarctica was livable.,194,0,FALSE,1,450.422,1499,14,32,7,6,9,7,"The caption cleverly plays on the surprise of seeing penguins in an urban setting, but could be a bit more punchy.",honest_coarsened,FALSE,23,TRUE,FALSE,10,9,10,1,5,3,6,7,0,0,2,8,9,10,I was trying to think of something that relates to the picture and is funny as well. It felt pleasing to come up with one even if it was bad.,,9.666666666666666,0.6666666666666666,9,4.666666666666667
69b9767916d4f954ddc17b00,5e120e2813064488573bb2a8,prolific3,ai,Is it black and white or black or white?,44,1,TRUE,0,71.95,1466,17,28,6,7,8,7,"The caption cleverly plays on the visual theme of the cartoon, but may not resonate as strongly in terms of humor.",honest_coarsened,FALSE,19,TRUE,FALSE,10,10,9,9,7,7,5,7,2,2,9,7,5,7,I'm not really sure. I wanted to be funny. It's a black and white cartoon so maybe it feels like it should be smarter.,The test in the either or boxes was a little funny. On the first one I was thinking what does this mean? Like the people were being tested or penguins and people out in street was a test.,9.666666666666666,4.333333333333333,6.333333333333333,6.333333333333333
69b9767e16d4f954ddc17b02,5e7abb2c6c89e4000a180b4a,prolific3,solo,I feel so underdressed in this city - everyone’s wearing suits!,86,0,FALSE,0,102.506,1517,16,98,6,7,8,7,"The caption is amusing and fits the scene well, highlighting the absurdity of penguins in a city setting.",honest_coarsened,TRUE,30,TRUE,FALSE,10,10,9,3,7,6,8,7,7,9,10,6,6,7,I was trying to think of something witty and funny. I felt kind of stressed and pressured to think on the spot. I kept thinking of ideas and then thinking that they weren’t funny enough.,,9.666666666666666,8.666666666666666,6.333333333333333,7
